ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,Score_sum,Score_weightedAvg,Score_weightedStdDev,Q1.1,Q1.2,Q1.2_TEXT,Q1.3,Q1.3_TEXT,Q2.1_1,Q2.1_2,Q2.1_3,Q2.1_4,Q2.1_5,Q2.1_6,Q2.1_7,Q2.1_8,Q2.1_8_TEXT,Q2.2_x35,Q2.2_x4,Q2.2_x6,Q2.2_x25,Q2.2_x13,Q2.2_x2,Q2.2_x3,Q2.2_x15,Q2.2_x15_TEXT,Q2.3_x35,Q2.3_x4,Q2.3_x6,Q2.3_x25,Q2.3_x13,Q2.3_x2,Q2.3_x3,Q2.3_x15,Q2.3_x15_TEXT,Q3.1_1_35,Q3.1_2_35,Q3.1_3_35,Q3.1_4_35,Q3.1_5_35,Q3.2_35,Q3.1_1_4,Q3.1_2_4,Q3.1_3_4,Q3.1_4_4,Q3.1_5_4,Q3.2_4,Q3.1_1_6,Q3.1_2_6,Q3.1_3_6,Q3.1_4_6,Q3.1_5_6,Q3.2_6,Q3.1_1_25,Q3.1_2_25,Q3.1_3_25,Q3.1_4_25,Q3.1_5_25,Q3.2_25,Q3.1_1_13,Q3.1_2_13,Q3.1_3_13,Q3.1_4_13,Q3.1_5_13,Q3.2_13,Q3.1_1_2,Q3.1_2_2,Q3.1_3_2,Q3.1_4_2,Q3.1_5_2,Q3.2_2,Q3.1_1_3,Q3.1_2_3,Q3.1_3_3,Q3.1_4_3,Q3.1_5_3,Q3.2_3,Q3.1_1_15,Q3.1_2_15,Q3.1_3_15,Q3.1_4_15,Q3.1_5_15,Q3.2_15,Q4.1,Q4.2,Q5.1,Q5.2_1,Q5.2_2,Q5.2_3,Q5.2_4,LocationLatitude,LocationLongitude,LocationAccuracy,Services_count,BPA_pct,Fin_pct,HR_pct,PS_pct,SIS_pct,FR_pct,UDW_pct,Others_pct,Conform_pct,Reliab_pct,Assur_pct,Partner_pct,Respon_pct,Quality_pct,Satisfaction_pct,Target_pct,filter_$,RES_1,ZRE_1
R_3DjBXvJpCUIXk2b,Default Response Set,,11/9/2015 12:11,11/9/2015 12:19,,,,,1,0,28,3.11,1.96,1,1,,3,,1,1,1,1,1,9,1,9,,5,5,5,5,5,,5,,,4,5,5,3,2,,5,,,2,2,2,2,2,ServiceLink should not be part of this survey.   Putting this in with the others distorts the view.   Budmod and Jems have been problematic this year with a clear lack of comms to Abu Dhabi,4,4,4,4,2,Global partnership needs to implemented,5,5,5,5,5,,2,2,2,2,2,There is no Lenel support in Abu Dhabi,3,3,3,3,3,,,,,,,,2,4,2,2,2,Again no support in AD for this service,,,,,,,2,Develop partnerships with Abu Dhabi,1,0,0,1.51,0,,,-1,6,40,72,100,40,60,,48,,60,66.7,60,60,53.3,60,40,80,1,0,0
R_12a1KjBTu1SKMsZ,Default Response Set,,11/3/2015 14:54,11/3/2015 15:35,,,,,1,0,26,3.25,1.83,1,2,,3,,1,1,1,1,9,9,1,9,,3,3,3,3,,,3,,,4,4,3,5,,,4,,,4,4,5,5,5,,4,4,5,4,5,,4,4,5,5,5,,5,5,5,5,5,,,,,,,,,,,,,,4,4,5,5,5,,,,,,,,4,,1,0,0,3.8,0,,,-1,5,92,88,92,100,,,92,,84,84,100,96,100,92.8,80,80,1,0,0
R_3lYwAdp72D9Mtb3,Default Response Set,,11/9/2015 11:17,11/9/2015 11:21,,,,,1,0,20,3.33,2.07,1,2,,3,,1,9,1,9,9,9,1,9,,3,,3,,,,3,,,5,,5,,,,5,,,4,4,4,4,4,,,,,,,,4,3,4,5,5,,,,,,,,,,,,,,,,,,,,4,4,5,5,5,,,,,,,,4,"am I the customer in this survey or are you talking about MY customers, since I am in a support role?",1,0,0,2.55,0,,,-1,3,80,,84,,,,92,,80,73.3,86.7,93.3,93.3,85.3,80,80,1,0,0
R_1QaUonrmfOUKf3E,Default Response Set,,11/9/2015 11:11,11/9/2015 11:34,,,,,1,0,27,3.38,1.92,1,2,,3,,1,1,1,9,1,9,1,9,,4,4,4,,1,,4,,,4,5,4,,3,,5,,,4,2,4,3,3,quite a few issues with JEMS during August,4,4,4,4,4,,4,4,4,4,4,,,,,,,,4,4,4,4,4,,,,,,,,4,3,5,5,5,,,,,,,,4,it seems there is room for more stability,1,234.07,234.07,234.43,1,,,-1,5,64,80,80,,80,,88,,80,68,84,80,80,78.4,80,80,1,0,0
R_2s5t8j12vd8MGoD,Default Response Set,,11/9/2015 14:44,11/9/2015 14:53,,,,,1,0,21,3,1.91,1,2,,3,,1,1,1,9,9,9,1,9,,5,5,2,,,,2,,,5,5,4,,,,5,,,4,2,4,4,4,Regarding BUDMOD and JEMS - reliability of budget modifications and journals posting daily has become an issue.  Many become 'stuck' in the system from time to time for unknown reasons.,4,4,4,4,4,,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,,,,,,,,3,,1,0,0,9.06,0,,,-1,4,72,80,80,,,,80,,80,70,80,80,80,78,60,80,1,0,0
R_AiKp9XLQxH1CxW1,Default Response Set,,11/12/2015 17:54,11/12/2015 17:57,,,,,1,0,17,4.25,2.22,1,2,,3,,9,9,9,9,9,9,1,9,,,,,,,,4,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,,,,,,,,5,,1,0,0,1.44,0,,,-1,1,,,,,,,100,,100,100,100,100,100,100,100,80,1,0,0
R_3PoAske9TypyLOB,Default Response Set,,11/3/2015 14:48,11/3/2015 14:53,,,,,1,0,29,3.63,1.92,1,3,,3,,1,1,1,9,1,9,1,9,,2,1,2,,1,,2,,,5,4,4,,3,,5,,,5,5,5,5,5,,5,5,5,5,5,,5,5,5,5,5,,,,,,,,5,5,5,5,5,,,,,,,,5,5,5,5,5,,,,,,,,5,,1,0,0,3.04,0,,,-1,5,100,100,100,,100,,100,,100,100,100,100,100,100,100,80,1,0,0
R_8oGWs3k49NkDaBb,Default Response Set,,11/3/2015 14:55,11/3/2015 15:01,,,,,1,0,24,3.43,1.99,1,3,,3,,1,1,1,9,9,9,1,9,,3,3,3,,,,3,,,5,5,4,,,,5,,,5,4,5,5,5,,5,5,5,5,5,,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,5,4,5,5,5,,,,,,,,5,,1,0,0,1.98,0,,,-1,4,96,100,100,,,,96,,100,90,100,100,100,98,100,80,1,0,0
R_3Jqp9GrDDcTurV3,Default Response Set,,11/3/2015 14:51,11/3/2015 15:02,,,,,1,0,22,3.14,1.86,1,3,,3,,1,1,1,9,9,9,1,9,,5,5,5,,,,5,,,4,5,4,,,,5,,,2,2,3,3,3,"The products are one size fits all, and in certain cases, not intuitive or user friendly.",4,4,4,4,4,,2,2,3,3,3,"PeopleSync is cumbersome, requires more input than prior system, how is that an improvement?  There are to many one off situations that the system cannot handle.  The system is not user friendly or intuitive.  The data out of the system is inaccurate, which may be user error, but the system is just very hard to use.  The system does not have built in features to not allow errors to occur, not simply notify people of errors; i.e., chartfield validation.  It is a shame to say, the community would rather go back to a 30 year old legacy system than an up-to-date, technoligically advanced system, simply because the product does not meet the user community needs.",,,,,,,,,,,,,,,,,,,2,4,4,4,4,UDW+ does not have all the data that was available in UDW.  The tool does not have the functions available as they were in UDW.  The system is not user friendly or intuitive.  The data elements are not aligned the same way as they were in UDW.  The Staff that provides excellent service are DSG.  They are willing to help all the time.,,,,,,,3,,1,0,0,3.16,0,,,-1,4,52,80,52,,,,72,,50,60,70,70,70,64,60,80,1,0,0
R_2to0PwoEPQUD86v,Default Response Set,,11/3/2015 15:00,11/3/2015 15:04,,,,,1,0,23,3.29,1.89,1,3,,3,,1,1,1,9,9,9,1,9,,3,3,2,,,,3,,,5,5,4,,,,5,,,4,4,4,4,4,,5,5,5,4,5,,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,,,,,,,,4,,1,0,0,2.29,0,,,-1,4,80,96,60,,,,80,,80,80,80,75,80,79,80,80,1,0,0
